Front	Back
Aku akan berlibur di Maladewa bulan depan	I will vacation in the Maldives next month
Mereka sedang mempelajari sejarah Malta sekarang	They are currently studying the history of Malta
Aku belum pernah mengunjungi Mauritania sebelumnya	I have never visited Mauritania before
Aku sedang belajar bahasa Spanyol untuk pergi ke Meksiko	I am learning Spanish to go to Mexico
Mereka akan berlibur di Mauritius musim panas ini	They will vacation in Mauritius this summer
Apakah kamu pernah ke Mikronesia?	Have you ever been to Micronesia?
Aku belum pernah mengunjungi Moldova	I have never visited Moldova
Aku akan pergi ke Monako besok	I will go to Monaco tomorrow
Dia tidak tinggal di Mongolia sekarang	He does not live in Mongolia now
Apakah mereka sedang berlibur di Montenegro?	Are they currently vacationing in Montenegro?
Aku sudah lama tinggal di Maroko	I have lived in Morocco for a long time
Kami belum akan pindah ke Mozambik	We will not move to Mozambique yet
Mengapa dia pernah bekerja di Myanmar?	Why did he once work in Myanmar?
Aku sedang menjelajahi Namibia sekarang	I am exploring Namibia now
Apakah kamu belum pernah ke Nauru?	Have you never been to Nauru?
Mereka akan mendaki gunung di Nepal	They will climb mountains in Nepal
Aku sudah tinggal di Belanda selama setahun	I have lived in the Netherlands for a year
Apakah kamu akan pergi ke Selandia Baru tahun ini?	Will you go to New Zealand this year?
Aku belum pernah mencicipi makanan khas Nikaragua	I have never tried traditional Nicaraguan food
Mereka sedang meneliti satwa liar di Niger	They are researching wildlife in Niger
Aku akan belajar budaya Nigeria bulan depan	I will study Nigerian culture next month
Apakah kamu pernah melihat berita dari Korea Utara?	Have you ever seen news from North Korea?
Aku tidak tinggal di Norwegia saat ini	I do not live in Norway right now
Mereka akan mengunjungi pasar tradisional di Oman	They will visit the traditional market in Oman
Aku sudah belajar bahasa Pakistan selama sebulan	I have been studying the Pakistani language for a month
Apakah mereka akan berlayar di kanal Panama?	Will they sail through the Panama Canal?
Aku belum pernah mengunjungi kota-kota di Paraguay	I have never visited the cities in Paraguay
Dia sedang mempelajari sejarah Inca di Peru	He is studying Inca history in Peru
Aku akan berenang di pantai Filipina minggu depan	I will swim at the Philippine beaches next week
Mereka sudah merencanakan perjalanan ke Polandia	They have already planned a trip to Poland
Aku sedang menikmati anggur lokal di Portugal	I am enjoying local wine in Portugal
Apakah kamu akan menghadiri pameran di Qatar?	Will you attend the exhibition in Qatar?
Aku belum mengunjungi kastil tua di Rumania	I have not visited the old castles in Romania
